nbSyll;pron;origin;warning;remarques;POS;lineId;pageId
2;brĭʹton;;;;n.;24.0;41
2;brĭʹttle;;;;a.;25.0;41
1;broach;;;;v.;26.0;41
1;broad;;;;a.;27.0;41
2;broaʹdsīde;;;;n.;28.0;41
2;brŏcāʹde;;;;n.;29.0;41
1;brock;;;;n.;30.0;41
2;brŏʹckel;;;;n.;31.0;41
3;brŏʹcŏlĭ;;;;n.;32.0;41
1;brog_ue_;;;;v.;33.0;41
1;broil;;;;n.;34.0;41
2;brōʹkage;;;;n.;35.0;41
2;brōʹker;;;;n.;36.0;41
1;brooch;;;;n.;37.0;41
1;brood;;;;n.;38.0;41
1;brook;;;;n.;39.0;41
1;broom;;;;n.;40.0;41
2;brooʹming;;;;n.;41.0;41
1;brŏth;;;;n.;42.0;41
2;brŏʹthel;F.;;;n.;43.0;41
2;brŏʹther;;;;n.;44.0;41
3;brŏʹtherhood;;;;n.;45.0;41
1;brȯẇ;;;;n.;46.0;41
2;brȯʹẇbeat;;;;v.;47.0;41
1;brȯẇn;;;;n.;48.0;41
1;brȯẇſe;F.;;;n.;49.0;41
1;brū_i_ſe;;;;v.;50.0;41
1;brūʹ_i_t;;;;n.;51.0;41
2;brūʹmal;L.;;;a.;52.0;41
4;brūmāʹlĭā;L.;;;n.;53.0;41
1;brŭnt;;;;n.;54.0;41
1;bruſh;;;;n.;55.0;41
4;brūtăʹlĭty;L.;;;n.;56.0;41
1;brūte;L.;;;n.;57.0;41
2;brūʹtiſh;;;;a.;58.0;41
2;bŭʹbble;;;;n.;59.0;41
2;būʹbо;;;;n.;60.0;41
1;buck;;;;n.;61.0;41
3;bŭʹckăneers;;;;n.;62.0;41
2;bŭcket;;nbSyll>1 et pas d'accent tonic;;n.;63.0;41
2;bŭʹckle;F.;;;n.;64.0;41
2;bŭʹckler;;;;n.;65.0;41
2;bŭʹckram;;;;n.;66.0;41
3;būcŏʹlics;G.;;;n.;67.0;41
1;bŭd;;;;n.;68.0;41
1;bŭdge;F.;;;n.;69.0;41
2;bŭʹdget;F.;;;n.;70.0;41
2;bŭʹffet;;;;n.;71.0;41
2;bŭffoon;F.;nbSyll>1 et pas d'accent tonic;;n.;72.0;41
1;bŭg;;;;n.;73.0;41
2;bŭʹgbear;;;;n.;2.0;42
3;bŭʹggĕry;F.;;;n.;3.0;42
2;bŭʹgle;L.;;;n.;4.0;42
2;bŭʹgloſs;G.;;;n.;5.0;42
1;b_u_ĭld;;;;v.;6.0;42
1;bŭlb;;;;n.;7.0;42
1;bŭlge;;;;v.;8.0;42
1;bŭlk;;;;n.;9.0;42
2;bŭlky;;nbSyll>1 et pas d'accent tonic;;a.;10.0;42
1;bŭll;;;;n.;11.0;42
2;bŭʹllfĭnch;;;;n.;12.0;42
2;bŭllace;;nbSyll>1 et pas d'accent tonic;;n.;13.0;42
2;bŭʹllet;;;;n.;14.0;42
3;bŭʹllĭon;;;;n.;15.0;42
2;bŭllock;;nbSyll>1 et pas d'accent tonic;;n.;16.0;42
2;bŭʹlly;;;;n.;17.0;42
2;bŭlwark;;nbSyll>1 et pas d'accent tonic;;n.;18.0;42
1;bŭm;;;;n.;19.0;42
2;bŭmbăʹſt;;;;n.;20.0;42
1;bŭmp;;;;n.;21.0;42
2;bŭʹmp_e_r;;;;n.;22.0;42
2;bŭmpkin;;nbSyll>1 et pas d'accent tonic;;n.;23.0;42
1;bŭnch;;;;n.;24.0;42
2;bŭʹnches;;;;n.;25.0;42
2;bŭʹndle;;;;n.;26.0;42
1;bŭng;;;;n.;27.0;42
2;bŭʹngle;;;;v.;28.0;42
2;bŭʹngler;;;;n.;29.0;42
1;bŭn;;;;n.;30.0;42
1;bŭnt;;;;n.;31.0;42
2;bŭnt_e_r;;nbSyll>1 et pas d'accent tonic;;n.;32.0;42
1;b_u_оy;F.;;;n.;33.0;42
2;bŭʹrden;;;;n.;34.0;42
3;bŭʹrgănet;F.;;;n.;35.0;42
2;bŭʹrgeſs;;;;n.;36.0;42
2;bŭrg_h__e_r;;nbSyll>1 et pas d'accent tonic;;n.;37.0;42
3;bŭʹrglăry;;;;n.;38.0;42
2;bŭʹrglar;;;;n.;39.0;42
4;bŭʹrgŏmăſter;;;;n.;40.0;42
3;bŭʹrial (bĭrrĭal);;;Aide à la {pron}.;n.;41.0;42
2;bŭrleʹſq_ue_;F.;;;n.;42.0;42
2;bŭʹrly;;;;a.;43.0;42
1;bŭrn;;;;v.;44.0;42
2;bŭrniſh;F.;nbSyll>1 et pas d'accent tonic;;v.;45.0;42
1;burr;;;;n.;46.0;42
2;bŭʹrro_w_;;;;n.;47.0;42
1;bŭrſe;F.;;;n.;48.0;42
2;bŭʹrſer;F.;;;n.;49.0;42
1;bŭrſt;;;;v.;50.0;42
2;bŭʹrſten;;;;a.;51.0;42
1;burt;;;;n.;52.0;42
2;bŭʹry (bĭrry);;;Aide à la {pron}.;v.;53.0;42
1;bŭſh;;;;n.;54.0;42
2;bŭʹſhel;F.;;;n.;55.0;42
3;bŭʹſineſs (bĭzzĭneſs);;;Aide à la {pron}.;n.;56.0;42
1;bŭſh;F.;;;n.;57.0;42
2;bŭʹſkins;;;;n.;58.0;42
1;bŭſs;;;;n.;59.0;42
1;bŭſt;;;;n.;60.0;42
2;bŭʹſtărd;F.;;;n.;61.0;42
2;bŭʹſtle;;;;v.;62.0;42
2;buʹſy (bĭzzy);;;Aide à la {pron}.;a.;63.0;42
2;bŭʹtcher;F.;;;n.;64.0;42
2;bŭʹtler;F.;;;n.;65.0;42
1;bŭtt;;;;n.;66.0;42
2;bŭtt_e_r;L.;nbSyll>1 et pas d'accent tonic;;n.;67.0;42
3;bŭʹttĕrfly;;;;n.;68.0;42
3;bŭʹtt_e_ry;;;;n.;69.0;42
2;bŭʹttoc;;;;n.;70.0;42
2;bŭʹtt_o_n;F.;;;n.;71.0;42
2;bŭʹttreſs;;;;n.;72.0;42
2;bŭʹxom;;;;a.;73.0;42
1;b_u_y;;;;v.;2.0;43
2;b_u_yʹer;;;;n.;3.0;43
1;bŭzz;;;;v.;4.0;43
2;bŭʹzzărd;;;;n.;5.0;43
3;byʹlănd_e_r;;;;n.;6.0;43
1;căb;;;;n.;2.0;43
2;căbaʹl;;;;n.;3.0;43
3;căʹbăline;;;;n.;4.0;43
3;căʹbălĭſt;L.;;;n.;5.0;43
5;căbăliʹſtical;L.;;;a.;6.0;43
2;căʹbbage;;;;n.;7.0;43
2;căʹbbin;F.;;;n.;8.0;43
3;căʹbĭnet;F.;;;n.;9.0;43
2;cāʹble;F.;;;n.;10.0;43
5;căcāfūēʹgo;;;;n.;11.0;43
3;căʹcāo;;;;n.;12.0;43
3;căc_h_eʹxy;G.;;;n.;13.0;43
1;căck;;;;v.;14.0;43
2;căʹckle;;;;v.;15.0;43
4;cācŏʹc_h_ymy;G.;;;n.;16.0;43
4;căcodaēʹmon;G.;;;n.;17.0;43
4;căcoēʹthĕs;G.;;;n.;18.0;43
4;cădăʹver_o_us;L.;;;a.;19.0;43
2;căʹdbāte;;;;n.;20.0;43
1;cāde;L.;;;n.;21.0;43
2;cădeé;;nbSyll>1 et pas d'accent tonic;;n.;22.0;43
4;cădĕlēʹſher;;;;n.;23.0;43
2;cādence;L.;nbSyll>1 et pas d'accent tonic;;n.;24.0;43
2;cādetʹ;F.;;;n.;25.0;43
2;căʹdew;;;;n.;26.0;43
2;cădūʹce;L.;;;n.;27.0;43
3;cădūʹcus;L.;;;n.;28.0;43
2;c_a_ēʹſаг;;;;n.;29.0;43
4;c_a_ēſāʹrĭan;;;;n.;30.0;43
3;cаſūʹrā;L.;;;n.;31.0;43
1;căg;;;;n.;32.0;43
1;cāgē;F.;;;n.;33.0;43
3;caĭʹmăcăn;;;;n.;34.0;43
2;căjōʹle;F.;;;v.;35.0;43
2;caiʹtiff;F.;;;n.;36.0;43
1;căke;;;;n.;37.0;43
3;caʹlăb_a_r;;;;n.;38.0;43
5;călămĭnaʹris;L.;;;n.;39.0;43
3;căʹlămīne;;;;n.;40.0;43
3;căʹlămĭnt;G.;;;n.;41.0;43
4;călăʹmĭt_o_us;L.;;;a.;42.0;43
4;călăʹmity;L.;;;n.;43.0;43
2;călaʹſh;F.;;;n.;44.0;43
2;căʹlcăr;;;;n.;45.0;43
5;calcĭnāʹtion;;;;n.;46.0;43
2;calcĭʹne;;;;v.;47.0;43
3;căʹlcūlāte;L.;;;v.;48.0;43
5;călĕfăʹction;L.;;;n.;49.0;43
3;căʹlĕnd_a_r;L.;;;n.;50.0;43
3;căʹlĕnd_e_r;F.;;;n.;51.0;43
2;căʹlĕnds;L.;;;n.;52.0;43
3;căʹlĕntūre;L.;;;n.;53.0;43
1;calf;;;;n.;54.0;43
3;căʹlĭcōe;;;;n.;55.0;43
3;căʹlĭducts;;;;n.;56.0;43
4;călíʹgin_o_us;L.;;;a.;57.0;43
3;căʹlĭper;;;;n.;58.0;43
2;căʹliph;;;;n.;59.0;43
3;căʹlĭver;;;;n.;60.0;43
1;calk;;;;v.;61.0;43
1;call;;;;n.;62.0;43
4;caʹllĭmăʹnco;;;;n.;63.0;43
2;caʹlling;;;;n.;64.0;43
4;callīŏpè;G.;nbSyll>1 et pas d'accent tonic;;n.;65.0;43
2;callous;;nbSyll>1 et pas d'accent tonic;;;2.0;44
2;căʹllo_w_;;;pas de {POS} indiquée dans le dictionnaire.;a.;3.0;44
2;caʹllus;L.;;;n.;4.0;44
1;calm;;;;n.;5.0;44
2;caʹltrop;;;;n.;6.0;44
3;caʹlvĭniſm;;;;n.;7.0;44
3;caʹlvĭniſts;;;;n.;8.0;44
5;calvĭnĭſtical;;nbSyll>1 et pas d'accent tonic;;a.;9.0;44
4;caʹlŭʹmnĭāte;L.;;;v.;10.0;44
5;calŭmnĭāʹtor;;;;n.;11.0;44
3;caʹlŭmny;L.;;;n.;12.0;44
1;calx;;;;n.;13.0;44
4;cămărōʹſis;;;;n.;14.0;44
2;căʹmbric;;;;n.;15.0;44
2;căʹmel;G.;;;n.;16.0;44
4;camĕʹle˙ȯn;G.;;;n.;17.0;44
3;căʹmĕrā;;;;n.;18.0;44
3;camĭſāʹde;F.;;;n.;19.0;44
2;căʹmlet;F.;;;n.;20.0;44
3;căʹmŏmīle;G.;;;n.;21.0;44
1;cămp;L.;;;n.;22.0;44
2;cămpaiʹ_g_n;F.;;;n.;23.0;44
4;campĕʹchĭo;;;;n.;24.0;44
2;căʹmphīre;L.;;;n.;25.0;44
2;canaʹl;F.;;;n.;26.0;44
3;cănāʹries;;;;n.;27.0;44
3;cănāʹry;;;;n.;28.0;44
2;cănceʹl;L.;;;v.;29.0;44
2;căʹncer;L.;;;n.;30.0;44
2;căʹndid;L.;;;a.;31.0;44
3;căʹndĭdātes;L.;;;n.;32.0;44
3;căndĭteeʹrs;;;;n.;33.0;44
2;căʹndle;L.;;;n.;34.0;44
3;căʹndl_e_măs;;;;n.;35.0;44
3;căʹndl_e_ftic;;;;n.;36.0;44
2;căʹndŏ_u_r;L.;;;n.;37.0;44
2;cindy;F.;nbSyll>1 et pas d'accent tonic;;v.;38.0;44
1;cāne;;;;n.;39.0;44
3;căʹnĭbal;;;;n.;40.0;44
4;canĭʹcŭlar;L.;;;a.;41.0;44
2;canīʹne;L.;;;a.;42.0;44
3;căʹnĭſt_e_r;L.;;;n.;43.0;44
2;căʹnk_e_r;;;;n.;44.0;44
1;cănn;;;;n.;45.0;44
2;căʹnnŏn;;;;n.;46.0;44
3;căʹnnŏneeʹr;;;;n.;47.0;44
2;căʹnon;L.;;;n.;48.0;44
4;cănŏʹnĭcal;L.;;;a.;49.0;44
6;cănŏnĭzāʹtion;L.;;;n.;50.0;44
2;cănoʹe;;;;n.;51.0;44
3;căʹnŏpy;F.;;;n.;52.0;44
1;cănt;;;;v.;53.0;44
3;căntāʹtā;;;;n.;54.0;44
4;cănthăʹrĭdès;G.;;;n.;55.0;44
3;căʹntĭcles;L.;;;n.;56.0;44
2;căʹnto;;;;n.;57.0;44
2;căʹnton;F.;;;v.;58.0;44
2;căʹntus;;;;n.;59.0;44
1;căʹnvăſs;;;;n.;60.0;44
2;căʹnvaſs;;;;v.;61.0;44
1;căp;;;;n.;62.0;44
3;cāʹpable;L.;;;a.;63.0;44
4;căpāʹcĭ_o_us;L.;;;a.;64.0;44
4;căpāʹcĭtate;;;;v.;65.0;44
4;căpăʹcĭty;L.;;;n.;66.0;44
3;cap-a-pee;F.;nbSyll>1 et pas d'accent tonic;;a.;67.0;44
4;căpāʹrĭſon;;;;n.;68.0;44
1;cāpe;F.;;;n.;69.0;44
2;cāʹp_e_r;F.;;;n.;70.0;44
2;cāʹphar;;;;n.;71.0;44
4;căpĭʹllăments;L.;;;n.;72.0;44
4;căpĭʹllăry;L.;;;a.;73.0;44
3;căʹpĭtal;L.;;;n.;74.0;44
5;căpĭtāʹtion;;;;n.;2.0;45
3;căʹpĭtol;L.;;;n.;3.0;45
4;capĭʹtūlāte;L.;;;v.;4.0;45
6;căpitūlăʹtion;L.;;;n.;5.0;45
4;căʹpnŏmăncy;G.;;;n.;6.0;45
2;căʹpon;;;;n.;7.0;45
2;capȯu̇ʹch;;;;n.;8.0;45
2;cāʹprĭce;F.;;;n.;9.0;45
4;cāprĭʹcĭ_o_us;F.;;;a.;10.0;45
3;căʹpricorn;L.;;;n.;11.0;45
3;caprĭōʹle;;;;n.;12.0;45
2;căʹpſtăn;;;;n.;13.0;45
3;căʹpſūlā;;;;n.;14.0;45
2;căʹptain;F.;;;n.;15.0;45
3;căʹpti_o_us;L.;;;a.;16.0;45
3;căʹptivāte;L.;;;v.;17.0;45
2;căʹptĭve;L.;;;n.;18.0;45
4;căptĭʹvĭty;L.;;;n.;19.0;45
2;căʹpture;L.;;;n.;20.0;45
3;căpuchiʹns;F.;;;n.;21.0;45
1;căr;;;;n.;22.0;45
3;cărăbīʹne;F.;;;n.;23.0;45
4;cărăbineeʹrs;;;;n.;24.0;45
2;căʹrack;;;;n.;25.0;45
3;căʹrăcol;F.;;;n.;26.0;45
2;căʹrăct;;;;n.;27.0;45
4;cărămōʹſel;;;;n.;28.0;45
2;caʹrat;F.;;;n.;29.0;45
3;căʹrăvăʹn;;;;n.;30.0;45
5;cărăvăʹnſăras;;;;n.;31.0;45
3;căʹrăvăl;;;;n.;32.0;45
3;cărăway;;nbSyll>1 et pas d'accent tonic;;n.;33.0;45
3;cărbŏnāʹde;F.;;;n.;34.0;45
3;căʹrbuncle;L.;;;n.;35.0;45
2;căʹrcăſs;F.;;;n.;36.0;45
3;căʹrcĕlage;L.;;;n.;37.0;45
1;căʹrd;F.;;;n.;38.0;45
3;căʹrdĭac;G.;;;a.;39.0;45
4;cărdīʹăcā;G.;;;n.;40.0;45
3;cardinal;;nbSyll>1 et pas d'accent tonic;;n.;41.0;45
4;căʹrdinalſhip;;;;n.;42.0;45
2;căʹrding;;;;n.;43.0;45
1;căre;;;;n.;44.0;45
2;căreeʹn;F.;;;v.;45.0;45
2;căreeʹr;F.;;;n.;46.0;45
2;cărĕʹſs;F.;;;v.;47.0;45
3;cărĕʹſſes;;;;n.;48.0;45
2;căʹret;L.;;;n.;49.0;45
2;căʹrgo;;;;n.;50.0;45
3;carĭʹbbees;;;;n.;51.0;45
3;căʹrĭ_o_us;L.;;;n.;52.0;45
3;caʹriĕs;;;;n.;53.0;45
3;căʹrkănet;F.;;;n.;54.0;45
2;căʹrking;;;;a.;55.0;45
1;cărl;;;;n.;56.0;45
2;căʹrlings;;;;n.;57.0;45
3;căʹrmelītes;;;;n.;58.0;45
4;carmĭʹnătives;L.;;;n.;59.0;45
2;carmīʹne;;;;n.;60.0;45
2;căʹrnage;L.;;;n.;61.0;45
2;căʹrnal;L.;;;a.;62.0;45
4;cărnāʹtion;L.;;;n.;63.0;45
3;căʹrnăval;;;;n.;64.0;45
4;cărnĭʹvor_o_us;;;;a.;65.0;45
4;cărnŏʹſity;;;;n.;66.0;45
2;caʹrol;F.;;;n.;67.0;45
3;căʹrolus;L.;;;n.;68.0;45
2;căʹrot;F.;;;n.;69.0;45
2;cărȯu̇ʹſe;F.;;;v.;70.0;45
1;cărp;L.;;;n.;71.0;45
3;căʹrpent_e_r;F.;;;n.;72.0;45
3;căʹrpentry;;;;n.;73.0;45
2;căʹrpet;;;;n.;2.0;46
3;căʹrrĭ_a_ge;F.;;;n.;3.0;46
3;căʹrrĭer;;;;n.;4.0;46
3;câʹrrĭon;;;;n.;5.0;46
3;căʹrrȯu̇ſel;;;;n.;6.0;46
2;caʹrry;F.;;;v.;7.0;46
1;cart;;;;n.;8.0;46
2;caʹrtel;F.;;;n.;9.0;46
4;cartēʹsĭan;;;;n.;10.0;46
4;cărthūʹsĭans;;;;n.;11.0;46
3;cartĭlage;L.;nbSyll>1 et pas d'accent tonic;;n.;12.0;46
2;cărtoʹn;F.;;;n.;13.0;46
2;cărtȯu̇ʹch;F.;;;n.;14.0;46
3;cartȯu̇ʹzes;;;;n.;15.0;46
1;cărve;;;;v.;16.0;46
2;căʹrvĕr;;;;n.;17.0;46
2;căſcāʹde;;;;n.;18.0;46
1;cāfe;L.;;;n.;19.0;46
2;cāʹſ_e_ment;;;;n.;20.0;46
2;cāʹſes;;;;n.;21.0;46
1;căſh;F.;;;n.;22.0;46
2;căſhieʹr;;;;n.;23.0;46
1;căſk;F.;;;n.;24.0;46
2;căʹſket;F.;;;n.;25.0;46
3;căſăwāʹre;;;;n.;26.0;46
3;căʹſsĭā;L.;;;n.;27.0;46
2;căʹſſoc;;;;n.;28.0;46
1;căſt;;;;v.;29.0;46
3;căʹſtănets;;;;n.;30.0;46
5;căſtĭgāʹtion;L.;;;n.;31.0;46
2;căʹſtle;;;;n.;32.0;46
2;caſtor;;nbSyll>1 et pas d'accent tonic;;n.;33.0;46
2;căʹſtrāte;L.;;;v.;34.0;46
4;căſtrāʹtion;;;;n.;35.0;46
3;căʹſūal;F.;;;a.;36.0;46
4;căʹsūălty;L.;;;n.;37.0;46
3;caʹsūiſt;F.;;;n.;38.0;46
1;căt;F.;;;n.;39.0;46
4;cătăbăʹptiſt;G.;;;n.;40.0;46
4;căʹtăc_h_rēʹſis;G.;;;n.;41.0;46
3;căʹtăcombs;L.;;;n.;42.0;46
4;cătalĕʹpſis;G.;;;n.;43.0;46
3;cătalŏg_ue_;G.;nbSyll>1 et pas d'accent tonic;;n.;44.0;46
3;căʹtămīte;G.;;;n.;45.0;46
3;căʹtăplăſm;G.;;;n.;46.0;46
4;cătăpuʹltā;G.;;;n.;47.0;46
3;căʹtărăct;G.;;;n.;48.0;46
2;cătăʹrr_h_;G.;;;n.;49.0;46
4;cătăʹſtrŏphè;G.;;;n.;50.0;46
1;cătch;;;;n.;51.0;46
3;căʹtec_h_īſe;G.;;;v.;52.0;46
3;căʹtec_h_iſm;G.;;;n.;53.0;46
3;căʹtec_h_iſt;G.;;;n.;54.0;46
4;căec_h_uʹmens;G.;;;n.;55.0;46
5;cătegōʹrĭcal;G.;;;a.;56.0;46
4;căʹtĕgory;G.;;;n.;57.0;46
2;cāʹter;;;;v.;58.0;46
3;cātĕrĕr;;nbSyll>1 et pas d'accent tonic;;n.;59.0;46
4;căʹtĕrpĭllar;;;;n.;60.0;46
1;cātes;;;;n.;61.0;46
3;cathăʹrtics;G.;;;n.;62.0;46
3;căthēʹdral;G.;;;n.;63.0;46
4;căthŏʹlĭciſm;;;;n.;64.0;46
3;căʹthŏlic;G.;;;a.;65.0;46
4;căthŏʹlĭcon;G.;;;n.;66.0;46
3;cătŏʹpſis;G.;;;n.;67.0;46
3;cătŏʹptrics;G.;;;n.;68.0;46
2;căʹttle;;;;n.;69.0;46
1;catt;;;;n.;70.0;46
3;căvălcāʹde;G.;;;n.;71.0;46
3;căvăliér;F.;nbSyll>1 et pas d'accent tonic;;n.;72.0;46
3;căʹvălry;F.;;;n.;73.0;46
2;căʹvāte;L.;;;v.;2.0;47
2;cauʹdle;;;;n.;3.0;47
1;cāve;L.;;;n.;4.0;47
3;cāʹvèàte;L.;;;n.;5.0;47
2;căveeʹr;;;;n.;6.0;47
2;căʹvĕrn;L.;;;n.;7.0;47
3;căvĕʹrn_o_us;;;;a.;8.0;47
2;căʹvil;L.;;;v.;9.0;47
2;cāʹvin;F.;;;n.;10.0;47
3;căʹvĭty;L.;;;n.;11.0;47
1;caul;;;;n.;12.0;47
2;cauʹldron;F.;;;n.;13.0;47
1;cauſe;L.;;;n.;14.0;47
2;cauʹſey;F.;;;n.;15.0;47
2;căuʹſtics;G.;;;n.;16.0;47
3;cauʹtel_o_us;L.;;;a.;17.0;47
3;cauʹtĕrīze;;;;v.;18.0;47
3;cauʹtion;L.;;;n.;19.0;47
3;cauʹti_o_us;;;;a.;20.0;47
1;ceafe;L.;;;v.;21.0;47
2;cēʹdar;L.;;;n.;22.0;47
3;cĕʹlĕbrāte;L.;;;v.;23.0;47
5;cĕlĕbrāʹtion;L.;;;n.;24.0;47
4;celĕʹbrĭus;;;;a.;25.0;47
4;cĕlĕʹrity;L.;;;n.;26.0;47
4;cēlĕʹſtĭal;L.;;;a.;27.0;47
3;celĕʹſtīnes;;;;n.;28.0;47
4;cĕʹlĭbăcy;L.;;;n.;29.0;47
1;cell;L.;;;n.;30.0;47
2;cĕʹllăr;;;;n.;31.0;47
3;cĕʹllărage;;;;n.;32.0;47
2;cēʹmĕnt;L.;;;n.;33.0;47
3;cēmĕʹnted;;;;a.;34.0;47
3;cĕʹnc_h_rĭas;G.;;;n.;35.0;47
2;cĕʹnſ_e_r;L.;;;n.;36.0;47
2;cĕʹnſ_o__r_;L.;;pas de {POS} indiquée dans le dictionnaire.;;37.0;47
4;cĕnſōʹrĭ_o_us;L.;;;a.;38.0;47
2;cĕʹnſure;L.;;;v.;39.0;47
1;cent;L.;;;n.;40.0;47
2;ceʹntaur;G.;;;n.;41.0;47
2;cĕʹnt_e_r;L.;;;n.;42.0;47
2;cĕʹntral;;;;a.;43.0;47
4;cĕntrĭʹfūgal;L.;;;a.;44.0;47
4;cĕntrĭʹpĕtal;L.;;;a.;45.0;47
3;cĕntūʹple;L.;;;a.;46.0;47
4;cĕntūʹrĭon;L.;;;n.;47.0;47
3;cĕʹntŭry;L.;;;n.;48.0;47
3;cephŭʹlic;G.;;;a.;49.0;47
3;cĕʹrbĕrus;;;;n.;50.0;47
2;cérāte;L.;nbSyll>1 et pas d'accent tonic;;n.;51.0;47
4;ceréàʹlès;L.;;;n.;52.0;47
5;cĕrĕmōʹnĭal;;;;n.;53.0;47
5;cĕrĕmōʹnĭ_o_ŭs;L.;;;a.;54.0;47
4;cĕʹrĕmŏny;L.;;;n.;55.0;47
2;ceʹres;L.;;;n.;56.0;47
2;cĕʹrtain;L.;;;a.;57.0;47
3;cĕʹrtainly;L.;;;n.;58.0;47
4;cĕrtiʹfĭcāte;F.;;;n.;59.0;47
3;cĕʹrtĭfy;F.;;;v.;60.0;47
3;cĕʹrtitūde;L.;;;n.;61.0;47
2;cĕʹrūſe;L.;;;n.;62.0;47
1;cĕſs;;;;n.;63.0;47
4;cĕſsāʹtion;L.;;;n.;64.0;47
3;cĕʹſſion;L.;;;n.;65.0;47
2;cĕʹſtūs;L.;;;n.;66.0;47
1;chāce;F.;;;n.;67.0;47
1;chāfe;F.;;;v.;68.0;47
1;chăff;;;;n.;69.0;47
2;chăffer;;nbSyll>1 et pas d'accent tonic;;v.;70.0;47
2;chăʹffing;;;;n.;71.0;47
2;chagriʹn;F.;;;n.;72.0;47
1;chain;F.;;;n.;73.0;47
1;chair;F.;;;n.;2.0;48
1;chaiſe;F.;;;n.;3.0;48
4;chăʹlcĕdŏny;L.;;;n.;4.0;48
2;chaʹldron;;;;n.;5.0;48
2;chăʹlĭce;F.;;;n.;6.0;48
1;chalk;F.;;;n.;7.0;48
2;chăʹllĕnge;F.;;;n.;8.0;48
4;chalyʹbèàt;;;;a.;9.0;48
1;c_h_am;;;;n.;10.0;48
2;chamāʹde;F.;;;n.;11.0;48
2;chăʹmber;F.;;;n.;12.0;48
3;chăʹmbĕrl_a_in;F.;;;n.;13.0;48
2;chăʹmbrel;;;;n.;14.0;48
2;chăʹmf_e_r;F.;;;n.;15.0;48
2;chăʹmois;F.;;;n.;16.0;48
1;chămp;F.;;;v.;17.0;48
2;chămpaiʹn;F.;;;n.;18.0;48
3;chăʹmpĭon;F.;;;n.;19.0;48
1;chance;F.;;;n.;20.0;48
2;chăʹncel;F.;;;n.;21.0;48
3;chăʹncĕllor;F.;;;n.;22.0;48
3;chăʹncĕry;F.;;;n.;23.0;48
2;chăʹndler;L.;;;n.;24.0;48
1;chānge;F.;;;n.;25.0;48
2;chāʹng_e_able;;;;a.;26.0;48
2;chāʹng_e_ling;;;;n.;27.0;48
2;chāʹnger;;;;n.;28.0;48
2;chăʹnnel;L.;;;n.;29.0;48
1;chănt;F.;;;v.;30.0;48
2;chăʹnt_e_r;F.;;;n.;31.0;48
2;chăʹntry;F.;;;n.;32.0;48
3;chăntĭcleeʹr;F.;;;n.;33.0;48
2;c_h_ăʹos;G.;;;n.;34.0;48
1;chăp;;;;n.;35.0;48
1;chāpe;;;;n.;36.0;48
2;chāʹpel;F.;;;n.;37.0;48
3;chăʹpĭt_e_r;F.;;;n.;38.0;48
2;chăʹplet;F.;;;n.;39.0;48
1;chăps;;;;n.;40.0;48
2;chăʹpt_e_r;F.;;;n.;41.0;48
1;chāre;;;;n.;42.0;48
3;chăʹrăct_e_r;G.;;;n.;43.0;48
5;c_h_ărăctĕrĭʹſtic;;;;a.;44.0;48
4;chărăctĕrīʹze;;;;v.;45.0;48
2;chaʹrco_a_l;;;;n.;46.0;48
1;chārge;F.;;;n.;47.0;48
3;chāʹrg_e_able;;;;n.;48.0;48
2;chāʹrger;;;;n.;49.0;48
3;chăʹrĭot;F.;;;n.;50.0;48
4;chăʹrĭtable;L.;;;a.;51.0;48
3;chăʹrĭty;L.;;;n.;52.0;48
3;chăʹrlătan;F.;;;n.;53.0;48
1;charm;F.;;;n.;54.0;48
2;chăʹrnel;F.;;;n.;55.0;48
2;chăʹron;;;;n.;56.0;48
1;chărr;;;;n.;57.0;48
2;chăʹrt_e_r;F.;;;n.;58.0;48
1;c_h_arts;L.;;;n.;59.0;48
1;chāſe;F.;;;v.;60.0;48
1;c_h_ăſm;G.;;;n.;61.0;48
1;chāſte;L.;;;a.;62.0;48
2;chăʹſten;F.;;;v.;63.0;48
3;chăʹſtĭty;F.;;;n.;64.0;48
1;chat;;;;n.;65.0;48
3;chăʹtĕlan;;;;n.;66.0;48
2;chăʹttĕls;;;;n.;67.0;48
2;chăʹtt_e_r;;;;v.;68.0;48
1;cheap;;;;a.;69.0;48
2;cheaʹp_e_n;;;;v.;70.0;48
1;chear;F.;;;n.;71.0;48
2;cheaʹrful;;;;a.;72.0;48
1;cheat;;;;n.;2.0;49
1;check;;;;n.;3.0;49
2;chĕʹck_e_r;;;;n.;4.0;49
1;cheeks;;;;n.;5.0;49
1;cheeſe;;;;n.;6.0;49
2;chēʹquin;;;;n.;7.0;49
2;chĕʹrĭsh;F.;;;v.;8.0;49
2;chĕʹrry;;;;n.;9.0;49
2;chĕʹrŭb;;;;n.;10.0;49
2;chĕʹfnut;;;;n.;11.0;49
1;chĕſs;;;;n.;12.0;49
1;chĕſt;;;;n.;13.0;49
1;chew;;;;v.;14.0;49
2;chĭcāʹne;F.;;;n.;15.0;49
2;chĭʹck_e_n;;;;n.;16.0;49
1;chīde;;;;v.;17.0;49
1;chief;F.;;;a.;18.0;49
1;chieʹft_a_in;;;;n.;19.0;49
2;chĭʹlblain;;;;n.;20.0;49
1;chīld;;;;n.;21.0;49
3;chĭldermaſs;;nbSyll>1 et pas d'accent tonic;;n.;22.0;49
2;chīʹldhood;;;;n.;23.0;49
